Serial No,Name,University,Course,Year,Status,GRE_SCORE,Eng_test,Test_score,Undergrad_score,work_ex,Ranking
1346,Kiah-kol,University at Buffalo SUNY,Management Information System,Fall 2018 ,Applied,322,TOEFL,107,74.47%,28,11
1347,Shalki,University at Buffalo SUNY,Management Information System,Fall 2018 ,Applied,316,ENG TEST,0,7.5 CGPA ,36,11
1349,karan0011,University at Buffalo SUNY,Management Information System,Fall 2018 ,Applied,307,TOEFL,95,65.10%,48,11
1350,pcar12,University at Buffalo SUNY,Management Information System,Fall 2018 ,Applied,311,TOEFL,110,64%,72,11
1351,abhibogi,University at Buffalo SUNY,Management Information System,Fall 2018 ,Applied,309,TOEFL,99,8.56 CGPA ,0,11
1352,Aman0098,University at Buffalo SUNY,Management Information System,Fall 2018 ,Applied,306,TOEFL,0,8.04 CGPA ,40,11
1353,pavithra25,University at Buffalo SUNY,Management Information System,Fall 2018 ,Admit,308,TOEFL,105,85%,60,11
1354,Jaiwant,University at Buffalo SUNY,Management Information System,Fall 2018 ,Admit,301,TOEFL,93,83.50%,20,11
1355,pmesh,University at Buffalo SUNY,Management Information System,Fall 2018 ,Admit,320,TOEFL,117,59.42%,30,11
1356,JaySomaiya,University at Buffalo SUNY,Management Information System,Fall 2018 ,Admit,317,TOEFL,110,6.93 CGPA ,25,11
1357,charvib,University at Buffalo SUNY,Management Information System,Fall 2018 ,Admit,323,TOEFL,109,80.30%,13,11
1358,Anoosha P,University at Buffalo SUNY,Management Information System,Fall 2018 ,Admit,304,TOEFL,83,79.12%,18,11
1359,Shweth94,University at Buffalo SUNY,Management Information System,Fall 2018 ,Admit,310,TOEFL,90,71%,6,11
1360,Anand31,University at Buffalo SUNY,Management Information System,Fall 2018 ,Admit,314,TOEFL,0,63.28%,40,11
1361,dGMaahi,University at Buffalo SUNY,Management Information System,Fall 2018 ,Admit,318,IELTS,7.5,8.17 CGPA ,0,11
1362,Sudesh,University at Buffalo SUNY,Management Information System,Fall 2018 ,Admit,314,TOEFL,96,8 CGPA ,24,11
1363,Vedang07,University at Buffalo SUNY,Management Information System,Fall 2018 ,Admit,317,TOEFL,108,8.2 CGPA ,0,11
1364,Pavan1208,University at Buffalo SUNY,Management Information System,Fall 2018 ,Admit,314,TOEFL,0,87%,30,11
1365,sayeejadhav,University at Buffalo SUNY,Management Information System,Fall 2018 ,Admit,310,TOEFL,102,60%,26,11
1366,Balvaishwer,University at Buffalo SUNY,Management Information System,Fall 2018 ,Admit,313,TOEFL,0,84%,24,11
1367,Skywalker95,University at Buffalo SUNY,Management Information System,Fall 2018 ,Admit,317,TOEFL,101,67%,18,11
1368,Disha0701,University at Buffalo SUNY,Management Information System,Fall 2018 ,Admit,308,TOEFL,84,68.50%,43,11
1369,nikhil714,University at Buffalo SUNY,Management Information System,Fall 2018 ,Admit,308,IELTS,0,7.31 CGPA ,23,11
1370,mischief-managed,University at Buffalo SUNY,Management Information System,Fall 2015 ,Admit,311,TOEFL,111,59.80%,40,11
1371,Sharon27,University at Buffalo SUNY,Management Information System,Fall 2018 ,Admit,317,IELTS,7.5,7.93 CGPA ,57,11
1372,Aniru06,University at Buffalo SUNY,Management Information System,Fall 2018 ,Admit,312,TOEFL,92,75.20%,50,11
1373,Patty1993,University at Buffalo SUNY,Management Information System,Fall 2018 ,Reject,305,TOEFL,109,64.77%,29,11
1374,shruti7,University at Buffalo SUNY,Management Information System,Fall 2018 ,Reject,303,TOEFL,91,7.7 CGPA ,1,11
1375,anandm1993,University at Buffalo SUNY,Management Information System,Fall 2018 ,Reject,309,TOEFL,105,87%,30,11
1376,ashwinsr20,University at Buffalo SUNY,Management Information System,Fall 2018 ,Reject,312,TOEFL,0,7.7 CGPA ,0,11
1377,hrgupta,University at Buffalo SUNY,Management Information System,Fall 2018 ,Reject,310,TOEFL,107,7.39 CGPA ,14,11
1378,abhishek-yocket-8,University at Buffalo SUNY,Management Information System,Fall 2018 ,Reject,308,TOEFL,100,58%,12,11
1379,Kibria,University at Buffalo SUNY,Management Information System,Fall 2018 ,Reject,305,TOEFL,88,9 CGPA ,40,11
1380,Girih,University at Buffalo SUNY,Management Information System,Fall 2018 ,Reject,307,TOEFL,101,8.63 CGPA ,45,11
1381,jaaaaadu,University at Buffalo SUNY,Management Information System,Fall 2018 ,Reject,308,TOEFL,101,7.3 CGPA ,9,11
1383,Aditya-Manmode,University at Buffalo SUNY,Management Information System,Fall 2018 ,Reject,304,TOEFL,88,64.36%,47,11
1384,lxmirmsh,University at Buffalo SUNY,Management Information System,Fall 2018 ,Reject,300,TOEFL,104,74.11%,29,11
1385,Sanchsabharwal,University at Buffalo SUNY,Management Information System,Fall 2018 ,Reject,308,TOEFL,100,9.23 CGPA ,26,11
1386,kau,University at Buffalo SUNY,Management Information System,Fall 2018 ,Reject,307,ENG TEST,0,7.5 CGPA ,4,11
1387,5amuel,University at Buffalo SUNY,Management Information System,Fall 2018 ,Reject,312,TOEFL,110,6.8 CGPA ,60,11
1388,abhishek1412,University at Buffalo SUNY,Management Information System,Fall 2018 ,Reject,308,TOEFL,90,69%,54,11
1389,sharad83pz,University at Buffalo SUNY,Management Information System,Fall 2018 ,Reject,305,TOEFL,98,74.12%,34,11
1390,div0724,University at Buffalo SUNY,Management Information System,Fall 2018 ,Reject,308,TOEFL,100,64%,29,11
1391,Giridhar312,University at Buffalo SUNY,Management Information System,Fall 2018 ,Reject,311,IELTS,7,7.74 CGPA ,25,11
1392,viky94,University at Buffalo SUNY,Management Information System,Fall 2018 ,Reject,301,TOEFL,84,7.67 CGPA ,50,11
1397,Shubham Agarwal,University at Buffalo SUNY,Management Information System,Fall 2019 ,Interested,310,ENG TEST,0,6.8 CGPA ,23,11
1398,pranay1996,University at Buffalo SUNY,Management Information System,Fall 2019 ,Interested,310,TOEFL,99,6.48 CGPA ,12,11
1399,Apoorva171996,University at Buffalo SUNY,Management Information System,Spring 2019 ,Interested,302,TOEFL,100,71%,0,11
1400,PrachiTembhekar,University at Buffalo SUNY,Management Information System,Fall 2019 ,Interested,290,ENG TEST,0,76%,0,11
1402,ManeeshMettu,University at Buffalo SUNY,Management Information System,Fall 2019 ,Interested,315,TOEFL,112,8.3 CGPA ,12,11
1404,aviralpushkarna,University at Buffalo SUNY,Management Information System,Fall 2019 ,Interested,318,ENG TEST,0,7.71 CGPA ,0,11
1407,Himuuu,University at Buffalo SUNY,Management Information System,Fall 2018 ,Interested,309,TOEFL,100,7.2 CGPA ,1,11
1410,Dishu31,University at Buffalo SUNY,Management Information System,Fall 2019 ,Interested,315,TOEFL,100,7.54 CGPA ,0,11
1411,AATIK1993,University at Buffalo SUNY,Management Information System,Fall 2018 ,Interested,306,IELTS,8,71.40%,20,11
1412,nidhipriya1993,University at Buffalo SUNY,Management Information System,Spring 2019 ,Interested,298,TOEFL,90,9.12 CGPA ,24,11
1586,Niparash,Syracuse University,Management Information System,Fall 2018 ,Applied,304,TOEFL,98,7.81 CGPA ,28,19
1587,mischief-managed,Syracuse University,Management Information System,Fall 2015 ,Applied,311,TOEFL,111,59.80%,40,19
1588,saiyogesh,Syracuse University,Management Information System,Fall 2018 ,Applied,320,TOEFL,113,7.9 CGPA ,17,19
1589,SatwikKashyap,Syracuse University,Management Information System,Fall 2018 ,Applied,308,TOEFL,90,8.16 CGPA ,43,19
1590,Nidhiss,Syracuse University,Management Information System,Fall 2018 ,Applied,299,TOEFL,88,83%,30,19
1591,neetipopat,Syracuse University,Management Information System,Fall 2014 ,Applied,306,TOEFL,96,62%,15,19
1592,ChaitanyaMag,Syracuse University,Management Information System,Fall 2018 ,Applied,303,TOEFL,97,7 CGPA ,16,19
1593,AsadM,Syracuse University,Management Information System,Fall 2018 ,Applied,301,ENG TEST,0,65%,74,19
1594,Akhild17,Syracuse University,Management Information System,Fall 2018 ,Applied,300,TOEFL,88,60%,29,19
1595,Bhagyashri333,Syracuse University,Management Information System,Fall 2018 ,Applied,303,TOEFL,87,6.8 CGPA ,8,19
1596,Tanya13,Syracuse University,Management Information System,Fall 2018 ,Applied,315,TOEFL,112,8.24 CGPA ,1,19
1597,Kiah-kol,Syracuse University,Management Information System,Fall 2018 ,Applied,322,TOEFL,107,74.47%,28,19
1598,divsin12,Syracuse University,Management Information System,Fall 2018 ,Applied,296,TOEFL,91,72%,20,19
1599,chaitali922,Syracuse University,Management Information System,Fall 2018 ,Applied,308,TOEFL,101,7.79 CGPA ,16,19
1600,Mamta-h,Syracuse University,Management Information System,Fall 2018 ,Applied,302,TOEFL,90,7.75 CGPA ,6,19
1601,KAPIL TATHOD,Syracuse University,Management Information System,Fall 2018 ,Applied,306,IELTS,7,74.22%,8,19
1602,Radhika26,Syracuse University,Management Information System,Fall 2018 ,Applied,308,TOEFL,93,7.8 CGPA ,26,19
1603,BhavAce,Syracuse University,Management Information System,Fall 2018 ,Applied,312,TOEFL,113,10 CGPA ,0,19
1604,shreyadumbre 23,Syracuse University,Management Information System,Fall 2018 ,Applied,311,TOEFL,106,68.23%,19,19
1605,Saikumar91,Syracuse University,Management Information System,Fall 2018 ,Applied,297,TOEFL,81,62%,46,19
1607,amruthamandadi,Syracuse University,Management Information System,Fall 2018 ,Admit,306,TOEFL,97,73%,42,19
1608,viraj1331,Syracuse University,Management Information System,Fall 2018 ,Admit,317,IELTS,7,63.70%,1,19
1609,Aishwarya S,Syracuse University,Management Information System,Fall 2018 ,Admit,300,TOEFL,88,8.18 CGPA ,24,19
1611,SagarMulani,Syracuse University,Management Information System,Fall 2018 ,Admit,308,TOEFL,99,65%,19,19
1612,hrgupta,Syracuse University,Management Information System,Fall 2018 ,Admit,310,TOEFL,107,7.39 CGPA ,14,19
1613,ParthMehta,Syracuse University,Management Information System,Fall 2018 ,Admit,314,TOEFL,106,9.15 CGPA ,0,19
1614,AkRel,Syracuse University,Management Information System,Fall 2018 ,Admit,302,TOEFL,101,65%,30,19
1615,adi1993,Syracuse University,Management Information System,Fall 2018 ,Admit,303,TOEFL,94,7.37 CGPA ,27,19
1616,KrithikaCT,Syracuse University,Management Information System,Fall 2018 ,Admit,301,TOEFL,0,80.12%,60,19
1617,aditi15,Syracuse University,Management Information System,Fall 2018 ,Admit,310,TOEFL,0,79.70%,36,19
1618,DrashtiShah,Syracuse University,Management Information System,Fall 2018 ,Admit,308,TOEFL,95,3.5 CGPA ,3,19
1619,ArthiAbilasha,Syracuse University,Management Information System,Fall 2018 ,Admit,302,IELTS,0,7.3 CGPA ,1,19
1620,Kripesh,Syracuse University,Management Information System,Fall 2018 ,Admit,304,TOEFL,96,7.87 CGPA ,12,19
1621,rshetty,Syracuse University,Management Information System,Fall 2018 ,Admit,307,TOEFL,111,7.6 CGPA ,0,19
1622,Hemangjalali,Syracuse University,Management Information System,Fall 2018 ,Admit,307,TOEFL,94,79%,37,19
1623,ishan147,Syracuse University,Management Information System,Fall 2018 ,Admit,312,TOEFL,104,8.7 CGPA ,20,19
1624,kumar007,Syracuse University,Management Information System,Fall 2018 ,Admit,307,ENG TEST,0,65%,40,19
1625,AbhinavSharma0794,Syracuse University,Management Information System,Fall 2018 ,Admit,319,TOEFL,114,6.71 CGPA ,14,19
1626,arpita103,Syracuse University,Management Information System,Fall 2018 ,Reject,300,TOEFL,93,69.40%,82,19
1627,Ajay94,Syracuse University,Management Information System,Fall 2018 ,Reject,302,TOEFL,86,65.37%,27,19
1628,aparikh4,Syracuse University,Management Information System,Fall 2018 ,Reject,308,TOEFL,89,7.5 CGPA ,32,19
1629,Setu04,Syracuse University,Management Information System,Fall 2018 ,Reject,308,TOEFL,102,7.09 CGPA ,0,19
1630,MAnkeerat,Syracuse University,Management Information System,Fall 2018 ,Reject,300,TOEFL,99,7.14 CGPA ,39,19
1631,akshat95,Syracuse University,Management Information System,Fall 2018 ,Reject,309,TOEFL,0,7.41 CGPA ,17,19
1632,Rushikesh420,Syracuse University,Management Information System,Fall 2018 ,Reject,298,TOEFL,0,57.43%,6,19
1633,Pratik Kadi,Syracuse University,Management Information System,Fall 2018 ,Reject,302,TOEFL,81,56.99%,42,19
1634,shub23,Syracuse University,Management Information System,Fall 2018 ,Reject,305,TOEFL,0,6.82 CGPA ,3,19
1635,RuchiNiwalkar,Syracuse University,Management Information System,Fall 2018 ,Reject,302,TOEFL,97,65%,27,19
1636,Snehaw,Syracuse University,Management Information System,Fall 2018 ,Reject,299,TOEFL,97,72.30%,48,19
1637,Jayeshiyer,Syracuse University,Management Information System,Fall 2018 ,Reject,307,IELTS,7,54%,31,19
1638,JayPatel8394,Syracuse University,Management Information System,Fall 2018 ,Reject,297,TOEFL,99,55.81%,24,19
1639,@mihir,Syracuse University,Management Information System,Fall 2018 ,Reject,305,TOEFL,98,50.22%,17,19
1640,HardikSoni,Syracuse University,Management Information System,Fall 2018 ,Reject,296,TOEFL,93,64.30%,64,19
1641,Mansi003,Syracuse University,Management Information System,Fall 2018 ,Reject,300,TOEFL,90,7 CGPA ,12,19
1642,srishti1995,Syracuse University,Management Information System,Fall 2018 ,Reject,297,TOEFL,88,81%,20,19
1643,kenil,Syracuse University,Management Information System,Fall 2018 ,Reject,323,TOEFL,110,8.55 CGPA ,0,19
1644,Sandyyy,Syracuse University,Management Information System,Fall 2018 ,Reject,305,ENG TEST,0,8.5 CGPA ,6,19
1645,Alloy,Syracuse University,Management Information System,Fall 2018 ,Reject,302,IELTS,7,8.22 CGPA ,8,19
1648,prasoons075,Syracuse University,Management Information System,Spring 2019 ,Interested,304,ENG TEST,0,74%,24,19
1649,lokesh2334,Syracuse University,Management Information System,Spring 2019 ,Interested,295,TOEFL,93,54%,41,19
1650,vivekku9944,Syracuse University,Management Information System,Fall 2018 ,Interested,293,TOEFL,82,55%,22,19
1651,Arpi99,Syracuse University,Management Information System,Spring 2019 ,Interested,281,IELTS,6.5,74%,60,19
1652,JashKT,Syracuse University,Management Information System,Fall 2019 ,Interested,316,ENG TEST,0,9 CGPA ,12,19
1653,rajesh020393,Syracuse University,Management Information System,Spring 2019 ,Interested,295,IELTS,6,6.7 CGPA ,24,19
1654,ratnamandava,Syracuse University,Management Information System,Fall 2019 ,Interested,322,ENG TEST,0,6.45 CGPA ,1,19
1656,aastha1897,Syracuse University,Management Information System,Spring 2019 ,Interested,312,IELTS,7.5,7.9 CGPA ,0,19
1657,kiniaditya,Syracuse University,Management Information System,Fall 2019 ,Interested,305,IELTS,7,8.11 CGPA ,0,19
1658,priyabalaji,Syracuse University,Management Information System,Fall 2019 ,Interested, N.A. ,IELTS,7.5,7.35 CGPA ,0,19
1659,Venkateshsivakumar,Syracuse University,Management Information System,Spring 2019 ,Interested,296,TOEFL,81,7.37 CGPA ,43,19
1660,sidd1694,Syracuse University,Management Information System,Spring 2019 ,Interested,316,IELTS,7.5,69.50%,28,19
1662,sisirchinferno,Syracuse University,Management Information System,Spring 2019 ,Interested,308,TOEFL,100,6.47 CGPA ,38,19
1663,pranavtiwari,Syracuse University,Management Information System,Fall 2019 ,Interested,319,TOEFL,100,62.47%,12,19
1664,diviraj,Syracuse University,Management Information System,Spring 2019 ,Interested,303,TOEFL,103,9 CGPA ,2,19
1848,manishsombansh ,"Texas A&M; University, College Station",Management Information System,Fall 2018 ,Applied,316,TOEFL,102,7.58 CGPA ,42,25
1849,Shalki,"Texas A&M; University, College Station",Management Information System,Fall 2018 ,Applied,316,ENG TEST,0,7.5 CGPA ,36,25
1850,avi0821,"Texas A&M; University, College Station",Management Information System,Fall 2018 ,Applied,314,TOEFL,100,7.4 CGPA ,24,25
1851,SnehaB,"Texas A&M; University, College Station",Management Information System,Fall 2018 ,Applied,312,TOEFL,98,77.80%,31,25
1852,Pritha2,"Texas A&M; University, College Station",Management Information System,Fall 2018 ,Applied,309,IELTS,8,8 CGPA ,0,25
1853,Shivapriyak,"Texas A&M; University, College Station",Management Information System,Fall 2018 ,Applied,317,TOEFL,103,79%,60,25
1854,Sonajan,"Texas A&M; University, College Station",Management Information System,Fall 2018 ,Applied,314,ENG TEST,0,80.68%,48,25
1855,priyanshbendre,"Texas A&M; University, College Station",Management Information System,Fall 2018 ,Applied,309,TOEFL,103,69%,0,25
1856,Anuja1011,"Texas A&M; University, College Station",Management Information System,Fall 2018 ,Applied,309,TOEFL,103,74.10%,13,25
1857,samman,"Texas A&M; University, College Station",Management Information System,Fall 2018 ,Applied,315,TOEFL,103,66%,11,25
1858,Pankajnarcisst,"Texas A&M; University, College Station",Management Information System,Fall 2018 ,Applied,321,TOEFL,104,71%,76,25
1859,PrateekMaini,"Texas A&M; University, College Station",Management Information System,Fall 2018 ,Applied,320,TOEFL,116,82%,0,25
1860,Sdh,"Texas A&M; University, College Station",Management Information System,Fall 2018 ,Applied,318,TOEFL,112,80.30%,16,25
1861,OnTop09,"Texas A&M; University, College Station",Management Information System,Fall 2018 ,Applied,315,TOEFL,100,72%,43,25
1862,akansha-srivastava,"Texas A&M; University, College Station",Management Information System,Fall 2014 ,Applied,324,TOEFL,104,89.90%,29,25
1863,Js1994,"Texas A&M; University, College Station",Management Information System,Fall 2017 ,Applied,316,TOEFL,102,7.99 CGPA ,13,25
1864,Useless,"Texas A&M; University, College Station",Management Information System,Fall 2017 ,Applied,327,TOEFL,110,7.43 CGPA ,20,25
1865,kripadixit,"Texas A&M; University, College Station",Management Information System,Fall 2017 ,Applied,322,TOEFL,112,69.80%,31,25
1866,Ankit110691,"Texas A&M; University, College Station",Management Information System,Fall 2018 ,Applied,317,TOEFL,100,80.43%,43,25
1867,akhanna,"Texas A&M; University, College Station",Management Information System,Fall 2017 ,Applied,317,TOEFL,114,8.02 CGPA ,21,25
1868,pmesh,"Texas A&M; University, College Station",Management Information System,Fall 2018 ,Admit,320,TOEFL,117,59.42%,30,25
1869,Bagsy79,"Texas A&M; University, College Station",Management Information System,Fall 2018 ,Admit,318,TOEFL,103,78.40%,-1,25
1872,Sonali2810,"Texas A&M; University, College Station",Management Information System,Fall 2018 ,Admit,322,TOEFL,110,79.04%,27,25
1873,Balvaishwer,"Texas A&M; University, College Station",Management Information System,Fall 2018 ,Admit,313,TOEFL,0,84%,24,25
1874,rahulvg,"Texas A&M; University, College Station",Management Information System,Fall 2018 ,Admit,314,TOEFL,0,78%,6,25
1875,mihirb94,"Texas A&M; University, College Station",Management Information System,Fall 2018 ,Admit,310,ENG TEST,0,7.55 CGPA ,12,25
1876,ganeshpu,"Texas A&M; University, College Station",Management Information System,Fall 2018 ,Admit,309,IELTS,7,8.5 CGPA ,16,25
1877,thevivekdwivedi,"Texas A&M; University, College Station",Management Information System,Fall 2018 ,Admit,320,TOEFL,111,7.98 CGPA ,30,25
1878,RheaSharma,"Texas A&M; University, College Station",Management Information System,Fall 2018 ,Admit,330,TOEFL,108,7.2 CGPA ,12,25
1880,ishan147,"Texas A&M; University, College Station",Management Information System,Fall 2018 ,Admit,312,TOEFL,104,8.7 CGPA ,20,25
1881,shreyank96,"Texas A&M; University, College Station",Management Information System,Fall 2018 ,Admit,325,TOEFL,116,8.48 CGPA ,2,25
1882,Mudra,"Texas A&M; University, College Station",Management Information System,Fall 2018 ,Admit,309,TOEFL,94,88%,60,25
1883,divsin12,"Texas A&M; University, College Station",Management Information System,Fall 2018 ,Admit,296,TOEFL,91,72%,20,25
1884,Triptha,"Texas A&M; University, College Station",Management Information System,Fall 2018 ,Admit,309,IELTS,8,7.95 CGPA ,3,25
1885,muktika,"Texas A&M; University, College Station",Management Information System,Fall 2018 ,Admit,307,TOEFL,103,8 CGPA ,34,25
1886,Rajeshwari Raji,"Texas A&M; University, College Station",Management Information System,Fall 2018 ,Admit,317,TOEFL,0,8 CGPA ,34,25
1887,Pranay9,"Texas A&M; University, College Station",Management Information System,Fall 2018 ,Admit,315,IELTS,7.5,65.77%,30,25
1888,aditi04upreti,"Texas A&M; University, College Station",Management Information System,Fall 2018 ,Reject,306,TOEFL,104,7.5 CGPA ,34,25
1889,Skywalker95,"Texas A&M; University, College Station",Management Information System,Fall 2018 ,Reject,317,TOEFL,101,67%,18,25
1890,tarunreddy7,"Texas A&M; University, College Station",Management Information System,Fall 2018 ,Reject,315,TOEFL,104,6.97 CGPA ,18,25
1891,Shreepriya,"Texas A&M; University, College Station",Management Information System,Fall 2018 ,Reject,312,TOEFL,110,8.6 CGPA ,24,25
1892,Vedang07,"Texas A&M; University, College Station",Management Information System,Fall 2018 ,Reject,317,TOEFL,108,8.2 CGPA ,0,25
1893,khyati20,"Texas A&M; University, College Station",Management Information System,Fall 2018 ,Reject,313,TOEFL,101,68.20%,42,25
1894,ritika101,"Texas A&M; University, College Station",Management Information System,Fall 2018 ,Reject,307,TOEFL,105,72%,54,25
1895,Chaitaniya,"Texas A&M; University, College Station",Management Information System,Fall 2018 ,Reject,311,TOEFL,107,68%,16,25
1896,jaaaaadu,"Texas A&M; University, College Station",Management Information System,Fall 2018 ,Reject,308,TOEFL,101,7.3 CGPA ,9,25
1897,Devash,"Texas A&M; University, College Station",Management Information System,Fall 2018 ,Reject,305,TOEFL,100,9 CGPA ,43,25
1898,DeepTalati,"Texas A&M; University, College Station",Management Information System,Fall 2018 ,Reject,319,IELTS,7,85.45%,7,25
1899,Adityakh5,"Texas A&M; University, College Station",Management Information System,Fall 2018 ,Reject,318,IELTS,7.5,72%,60,25
1900,ydave,"Texas A&M; University, College Station",Management Information System,Fall 2018 ,Reject,306,TOEFL,100,61.10%,40,25
1901,Zo,"Texas A&M; University, College Station",Management Information System,Fall 2018 ,Reject,305,TOEFL,95,8.54 CGPA ,34,25
1902,Annieee,"Texas A&M; University, College Station",Management Information System,Fall 2018 ,Reject,316,IELTS,7,8.47 CGPA ,36,25
1903,GauravDharra,"Texas A&M; University, College Station",Management Information System,Fall 2018 ,Reject,313,ENG TEST,0,75%,38,25
1904,frey_b,"Texas A&M; University, College Station",Management Information System,Fall 2018 ,Reject,300,TOEFL,103,9 CGPA ,30,25
1905,reddy531,"Texas A&M; University, College Station",Management Information System,Fall 2018 ,Reject,308,TOEFL,104,8.2 CGPA ,23,25
1906,Varuntan,"Texas A&M; University, College Station",Management Information System,Fall 2018 ,Reject,308,TOEFL,98,65%,25,25
1907,bara,"Texas A&M; University, College Station",Management Information System,Fall 2018 ,Reject,320,TOEFL,108,65%,41,25
1910,BrianPeterson,"Texas A&M; University, College Station",Management Information System,Fall 2019 ,Interested,325,ENG TEST,0,70%,2,25
1913,diviraj,"Texas A&M; University, College Station",Management Information System,Spring 2019 ,Interested,303,TOEFL,103,9 CGPA ,2,25
1915,PrachiTembhekar,"Texas A&M; University, College Station",Management Information System,Fall 2019 ,Interested,290,ENG TEST,0,76%,0,25
1917,kratikasainferno,"Texas A&M; University, College Station",Management Information System,Spring 2019 ,Interested,306,TOEFL,102,65%,26,25
1918,ManeeshMettu,"Texas A&M; University, College Station",Management Information System,Fall 2019 ,Interested,315,TOEFL,112,8.3 CGPA ,12,25
1920,Orpheus4256,"Texas A&M; University, College Statio",n Management Information System,Fall 2019 ,Interested,310,TOEFL,106,7.92 CGPA ,35,21
1923,aviralpushkarna,"Texas A&M; University, College Station",Management Information System,Fall 2019 ,Interested,318,ENG TEST,0,7.71 CGPA ,0,25
1924,AnuragMastBanda,"Texas A&M; University, College Station",Management Information System,Fall 2019 ,Interested,319,TOEFL,90,63%,0,25
1926,Shivam8587,"Texas A&M; University, College Station",Management Information System,Fall 2020 ,Interested,329,TOEFL,110,6.5 CGPA ,6,25
1927,rathodyash,"Texas A&M; University, College Station",Management Information System,Fall 2020 ,Interested,305,ENG TEST,0,7.1 CGPA ,0,25
1929,guruduttperi,"University of California, Irvine",ICS with concentration in Informatics,Fall 2019 ,Applied,307,ENG TEST,0,7.98 CGPA ,4,37
1930,VarunP96,"University of California, Irvine",ICS with concentration in Informatics,Fall 2018 ,Applied,332,TOEFL,117,7.33 CGPA ,0,37
1931,narendra4u,"University of California, Irvine",ICS with concentration in Informatics,Fall 2017 ,Applied,313,TOEFL,107,76%,31,37
1932,gandharv09,"University of California, Irvine",ICS with concentration in Informatics,Fall 2016 ,Applied,317,TOEFL,96,8 CGPA ,20,37
1933,Apara,"University of California, Irvine",ICS with concentration in Informatics,Fall 2017 ,Admit,316,TOEFL,109,71.40%,20,37
1934,sagar.vikmani,"University of California, Irvine",ICS with concentration in Informatics,Fall 2016 ,Admit,325,TOEFL,109,8.35 CGPA ,0,37
1935,prats_09,"University of California, Irvine",ICS with concentration in Informatics,Fall 2016 ,Admit,323,TOEFL,103,7 CGPA ,30,37
1936,aiyengar,"University of California, Irvine",ICS with concentration in Informatics,Fall 2017 ,Reject,318,TOEFL,107,8.07 CGPA ,25,37
1937,pratik151192,"University of California, Irvine",ICS with concentration in Informatics,Fall 2016 ,Reject,317,TOEFL,110,9.12 CGPA ,24,37
1938,enigma_sidd,"University of California, Irvine",ICS with concentration in Informatics,Fall 2016 ,Reject,321,TOEFL,111,57%,26,37
1943,ManeeshMettu,"University of California, Irvine",ICS with concentration in Informatics,Fall 2019 ,Interested,315,TOEFL,112,8.3 CGPA ,12,37
1944,kratikasainferno,"University of California, Irvine",ICS with concentration in Informatics,Spring 2019 ,Interested,306,TOEFL,102,65%,26,37
1946,Dishu31,"University of California, Irvine",ICS with concentration in Informatics,Fall 2019 ,Interested,315,TOEFL,100,7.54 CGPA ,0,37
1950,aman2129,"University of California, Irvine",ICS with concentration in Informatics,Fall 2019 ,Interested,326,TOEFL,99,8.322 CGPA ,12,37
1951,harrrs,"University of California, Irvine",ICS with concentration in Informatics,Fall 2018 ,Interested,278,TOEFL,79,66.25%,3,37
1955,Varrrrsha,"University of California, Irvine",ICS with concentration in Informatics,Fall 2019 ,Interested,313,ENG TEST,0,8.1 CGPA ,5,37
1956,ashish001,"University of California, Irvine",ICS with concentration in Informatics,Fall 2018 ,Interested,305,ENG TEST,0,70%,0,37
1960,AbhinavSharma0794,University of Cincinnati,Management Information System,Fall 2018 ,Applied,319,TOEFL,114,6.71 CGPA ,14,22
1961,Shubhi20,University of Cincinnati,Management Information System,Fall 2018 ,Applied,309,IELTS,7.5,9.24 CGPA ,40,22
1962,sayedshazeb,University of Cincinnati,Management Information System,Fall 2018 ,Applied,309,TOEFL,101,70%,27,22
1963,Shalki,University of Cincinnati,Management Information System,Fall 2018 ,Applied,316,ENG TEST,0,7.5 CGPA ,36,22
1964,darshit96,University of Cincinnati,Management Information System,Fall 2018 ,Applied,322,TOEFL,104,8.3 CGPA ,0,22
1965,somguria,University of Cincinnati,Management Information System,Fall 2018 ,Applied,302,IELTS,7,8.4 CGPA ,41,22
1966,abhijay22,University of Cincinnati,Management Information System,Fall 2018 ,Applied,319,TOEFL,101,6.57 CGPA ,15,22
1967,shreyadumbre 23,University of Cincinnati,Management Information System,Fall 2018 ,Applied,311,TOEFL,106,68.23%,19,22
1968,Abhinavsharma071994,University of Cincinnati,Management Information System,Fall 2018 ,Applied,319,TOEFL,114,6.71 CGPA ,14,22
1969,Ami0603,University of Cincinnati,Management Information System,Fall 2018 ,Applied,314,TOEFL,106,7.63 CGPA ,6,22
1970,aditichawla,University of Cincinnati,Management Information System,Fall 2018 ,Applied,304,IELTS,7,79%,30,22
1971,drohit16,University of Cincinnati,Management Information System,Fall 2018 ,Applied,317,TOEFL,111,86.60%,20,22
1972,Rakesh301323,University of Cincinnati,Management Information System,Fall 2018 ,Applied,323,TOEFL,97,62%,49,22
1973,Amodoi,University of Cincinnati,Management Information System,Fall 2018 ,Applied,307,TOEFL,99,67%,16,22
1974,akansha-srivastava,University of Cincinnati,Management Information System,Fall 2014 ,Applied,324,TOEFL,104,89.90%,29,22
1975,supratik,University of Cincinnati,Management Information System,Fall 2018 ,Applied,307,IELTS,7,7.61 CGPA ,37,22
1976,Soham2028,University of Cincinnati,Management Information System,Fall 2018 ,Applied,311,TOEFL,98,68.40%,18,22
